frame,det_id,x,y,angle,class_id,conf,area_px,polygon,particle,angle_wrapped,dangle,cumulative_angle
3000,177,1560.541463414634,1470.50325203252,6.850406169891357,0,0.9622416496276855,205.0,"[[1554.0, 1462.0], [1554.0, 1480.0], [1557.0, 1480.0], [1558.0, 1479.0], [1559.0, 1479.0], [1560.0, 1478.0], [1561.0, 1478.0], [1564.0, 1475.0], [1565.0, 1475.0], [1566.0, 1474.0], [1567.0, 1474.0], [1568.0, 1473.0], [1569.0, 1473.0], [1570.0, 1472.0], [1573.0, 1472.0], [1573.0, 1469.0], [1568.0, 1469.0], [1566.0, 1467.0], [1565.0, 1467.0], [1563.0, 1465.0], [1563.0, 1462.0]]",177,6.850406169891357,,0.0
3000,178,1089.3402255639098,1274.2337092731827,66.13231658935547,0,0.9621469378471375,266.0,"[[1082.0, 1266.0], [1082.0, 1269.0], [1081.0, 1270.0], [1078.0, 1270.0], [1078.0, 1276.0], [1081.0, 1276.0], [1082.0, 1277.0], [1083.0, 1277.0], [1084.0, 1278.0], [1085.0, 1278.0], [1087.0, 1280.0], [1088.0, 1280.0], [1089.0, 1281.0], [1089.0, 1285.0], [1097.0, 1285.0], [1097.0, 1266.0]]",178,66.13231658935547,,0.0
3000,179,1385.036652835408,1069.7710926694328,122.07347869873047,0,0.9620987176895142,241.0,"[[1378.0, 1062.0], [1378.0, 1081.0], [1385.0, 1081.0], [1385.0, 1077.0], [1388.0, 1074.0], [1389.0, 1074.0], [1393.0, 1070.0], [1394.0, 1070.0], [1395.0, 1069.0], [1395.0, 1062.0]]",179,2.0734786987304688,,0.0
3000,180,747.7166666666666,1487.7761904761903,8.403919219970703,0,0.9620892405509949,140.0,"[[742.0, 1482.0], [742.0, 1495.0], [746.0, 1495.0], [747.0, 1494.0], [748.0, 1494.0], [749.0, 1493.0], [750.0, 1493.0], [753.0, 1490.0], [754.0, 1490.0], [755.0, 1489.0], [756.0, 1489.0], [755.0, 1488.0], [755.0, 1486.0], [754.0, 1485.0], [754.0, 1482.0]]",180,8.403919219970703,,0.0
3000,181,943.6624561403507,96.48912280701754,83.89775085449219,0,0.9620529413223267,237.5,"[[934.0, 90.0], [934.0, 99.0], [937.0, 99.0], [939.0, 101.0], [939.0, 102.0], [940.0, 103.0], [940.0, 104.0], [941.0, 105.0], [941.0, 109.0], [945.0, 109.0], [945.0, 105.0], [946.0, 104.0], [946.0, 103.0], [949.0, 100.0], [949.0, 99.0], [951.0, 97.0], [951.0, 96.0], [954.0, 93.0], [957.0, 93.0], [957.0, 90.0]]",181,83.89775085449219,,0.0
3000,182,182.4738955823293,1359.05421686747,91.94622802734375,0,0.9620457291603088,166.0,"[[174.0, 1354.0], [174.0, 1362.0], [178.0, 1362.0], [179.0, 1363.0], [179.0, 1364.0], [180.0, 1365.0], [180.0, 1366.0], [181.0, 1367.0], [181.0, 1368.0], [182.0, 1369.0], [182.0, 1373.0], [182.0, 1369.0], [185.0, 1366.0], [185.0, 1365.0], [186.0, 1364.0], [186.0, 1363.0], [187.0, 1362.0], [187.0, 1361.0], [190.0, 1358.0], [193.0, 1358.0], [193.0, 1354.0]]",182,91.94622802734375,,0.0
3000,183,1492.143707482993,684.170918367347,24.38970184326172,0,0.9620378017425537,196.0,"[[1486.0, 674.0], [1486.0, 692.0], [1491.0, 692.0], [1492.0, 691.0], [1497.0, 691.0], [1498.0, 690.0], [1505.0, 690.0], [1505.0, 688.0], [1501.0, 688.0], [1500.0, 687.0], [1500.0, 686.0], [1497.0, 683.0], [1497.0, 682.0], [1493.0, 678.0], [1493.0, 674.0]]",183,24.38970184326172,,0.0
3000,184,1253.836693548387,1414.755376344086,55.037689208984375,0,0.962034285068512,248.0,"[[1249.0, 1406.0], [1249.0, 1410.0], [1248.0, 1411.0], [1247.0, 1411.0], [1246.0, 1412.0], [1242.0, 1412.0], [1242.0, 1417.0], [1246.0, 1417.0], [1247.0, 1418.0], [1248.0, 1418.0], [1249.0, 1419.0], [1250.0, 1419.0], [1251.0, 1420.0], [1252.0, 1420.0], [1253.0, 1421.0], [1253.0, 1425.0], [1261.0, 1425.0], [1261.0, 1406.0]]",184,55.037689208984375,,0.0
3000,185,1339.1268260292163,676.6254980079681,90.58723449707031,0,0.9619566202163696,251.0,"[[1330.0, 670.0], [1330.0, 682.0], [1333.0, 682.0], [1335.0, 684.0], [1335.0, 689.0], [1339.0, 689.0], [1339.0, 685.0], [1346.0, 678.0], [1346.0, 677.0], [1349.0, 674.0], [1353.0, 674.0], [1353.0, 670.0]]",185,90.58723449707031,,0.0
3000,186,2003.9298998569384,1635.6208869814018,45.95979309082031,0,0.9619269371032715,233.0,"[[1999.0, 1626.0], [1999.0, 1629.0], [1997.0, 1631.0], [1994.0, 1631.0], [1994.0, 1639.0], [1999.0, 1639.0], [2000.0, 1640.0], [2002.0, 1640.0], [2003.0, 1641.0], [2004.0, 1641.0], [2005.0, 1642.0], [2005.0, 1645.0], [2013.0, 1645.0], [2013.0, 1635.0], [2010.0, 1635.0], [2008.0, 1633.0], [2008.0, 1631.0], [2007.0, 1630.0], [2007.0, 1626.0]]",186,45.95979309082031,,0.0
3000,187,1730.336276674025,1483.0809418690212,42.92809295654297,0,0.9618996977806091,226.5,"[[1722.0, 1474.0], [1722.0, 1487.0], [1727.0, 1487.0], [1728.0, 1488.0], [1730.0, 1488.0], [1732.0, 1490.0], [1732.0, 1493.0], [1741.0, 1493.0], [1741.0, 1488.0], [1738.0, 1488.0], [1737.0, 1487.0], [1737.0, 1486.0], [1736.0, 1485.0], [1736.0, 1483.0], [1735.0, 1482.0], [1735.0, 1480.0], [1734.0, 1479.0], [1734.0, 1474.0]]",187,42.92809295654297,,0.0
3000,188,1620.7959969207081,1385.1285604311008,119.78973388671875,0,0.961847722530365,216.5,"[[1614.0, 1378.0], [1614.0, 1397.0], [1619.0, 1397.0], [1619.0, 1394.0], [1624.0, 1389.0], [1624.0, 1388.0], [1630.0, 1382.0], [1633.0, 1382.0], [1633.0, 1378.0]]",188,119.78973388671875,,0.0
3000,189,39.95713035870516,1251.9090113735783,21.321882247924805,0,0.9618211984634399,190.5,"[[34.0, 1242.0], [34.0, 1260.0], [38.0, 1260.0], [39.0, 1259.0], [42.0, 1259.0], [43.0, 1258.0], [47.0, 1258.0], [48.0, 1257.0], [53.0, 1257.0], [53.0, 1256.0], [50.0, 1256.0], [49.0, 1255.0], [49.0, 1254.0], [48.0, 1253.0], [47.0, 1253.0], [46.0, 1252.0], [46.0, 1251.0], [41.0, 1246.0], [41.0, 1242.0]]",189,21.321882247924805,,0.0
3000,190,1028.2321937321935,1464.9216524216522,54.023677825927734,0,0.9617843627929688,234.0,"[[1025.0, 1454.0], [1025.0, 1458.0], [1022.0, 1461.0], [1018.0, 1461.0], [1018.0, 1469.0], [1023.0, 1469.0], [1024.0, 1470.0], [1027.0, 1470.0], [1028.0, 1471.0], [1030.0, 1471.0], [1031.0, 1472.0], [1033.0, 1472.0], [1034.0, 1473.0], [1034.0, 1477.0], [1037.0, 1477.0], [1037.0, 1464.0], [1034.0, 1464.0], [1033.0, 1463.0], [1033.0, 1462.0], [1032.0, 1461.0], [1032.0, 1459.0], [1031.0, 1458.0], [1031.0, 1454.0]]",190,54.023677825927734,,0.0
3000,191,1713.3675373134329,1458.1436567164178,116.37775421142578,0,0.9617592096328735,268.0,"[[1706.0, 1450.0], [1706.0, 1473.0], [1709.0, 1473.0], [1709.0, 1470.0], [1712.0, 1467.0], [1713.0, 1467.0], [1715.0, 1465.0], [1715.0, 1464.0], [1722.0, 1457.0], [1725.0, 1457.0], [1725.0, 1450.0]]",191,116.37775421142578,,0.0
3000,192,1940.0101781170483,1526.905004240882,13.401458740234375,0,0.961747944355011,196.5,"[[1934.0, 1518.0], [1934.0, 1537.0], [1939.0, 1537.0], [1939.0, 1534.0], [1941.0, 1532.0], [1943.0, 1532.0], [1944.0, 1531.0], [1946.0, 1531.0], [1947.0, 1530.0], [1953.0, 1530.0], [1953.0, 1528.0], [1949.0, 1528.0], [1948.0, 1527.0], [1948.0, 1526.0], [1947.0, 1525.0], [1946.0, 1525.0], [1943.0, 1522.0], [1943.0, 1518.0]]",192,13.401458740234375,,0.0
3000,193,1486.9661150512213,433.0937746256895,34.53908920288086,0,0.9617262482643127,211.5,"[[1485.0, 422.0], [1485.0, 426.0], [1481.0, 430.0], [1478.0, 430.0], [1478.0, 439.0], [1487.0, 439.0], [1488.0, 440.0], [1497.0, 440.0], [1497.0, 434.0], [1494.0, 434.0], [1492.0, 432.0], [1492.0, 431.0], [1491.0, 430.0], [1491.0, 429.0], [1490.0, 428.0], [1490.0, 422.0]]",193,34.53908920288086,,0.0
3000,194,94.43341213553978,1156.966903073286,73.490234375,0,0.9616634845733643,211.5,"[[86.0, 1150.0], [86.0, 1160.0], [90.0, 1160.0], [92.0, 1162.0], [92.0, 1163.0], [94.0, 1165.0], [94.0, 1169.0], [98.0, 1169.0], [98.0, 1164.0], [99.0, 1163.0], [99.0, 1162.0], [100.0, 1161.0], [100.0, 1160.0], [101.0, 1159.0], [101.0, 1157.0], [102.0, 1156.0], [102.0, 1155.0], [103.0, 1154.0], [103.0, 1150.0]]",194,73.490234375,,0.0
3000,195,666.6689038031319,1311.2013422818793,76.61808013916016,0,0.9616210460662842,149.0,"[[658.0, 1306.0], [658.0, 1312.0], [662.0, 1312.0], [663.0, 1313.0], [663.0, 1314.0], [665.0, 1316.0], [665.0, 1317.0], [669.0, 1321.0], [670.0, 1320.0], [670.0, 1318.0], [671.0, 1317.0], [671.0, 1316.0], [672.0, 1315.0], [672.0, 1314.0], [673.0, 1313.0], [673.0, 1312.0], [674.0, 1311.0], [674.0, 1306.0]]",195,76.61808013916016,,0.0
3000,196,1578.1307692307691,1725.1442307692307,124.442626953125,0,0.9615870118141174,260.0,"[[1570.0, 1718.0], [1570.0, 1737.0], [1576.0, 1737.0], [1576.0, 1734.0], [1580.0, 1730.0], [1581.0, 1730.0], [1585.0, 1726.0], [1586.0, 1726.0], [1587.0, 1725.0], [1587.0, 1724.0], [1590.0, 1721.0], [1593.0, 1721.0], [1593.0, 1718.0]]",196,4.442626953125,,0.0
3000,197,41.13223787167449,392.6956181533646,120.0987319946289,0,0.9615514874458313,213.0,"[[34.0, 386.0], [34.0, 405.0], [38.0, 405.0], [38.0, 401.0], [40.0, 399.0], [41.0, 399.0], [45.0, 395.0], [46.0, 395.0], [50.0, 391.0], [53.0, 391.0], [53.0, 386.0]]",197,0.09873199462890625,,0.0
3000,198,1886.7663989290495,1957.805220883534,35.10935592651367,0,0.9615144729614258,249.0,"[[1884.0, 1946.0], [1884.0, 1950.0], [1883.0, 1951.0], [1883.0, 1952.0], [1882.0, 1953.0], [1878.0, 1953.0], [1878.0, 1965.0], [1897.0, 1965.0], [1897.0, 1957.0], [1893.0, 1957.0], [1892.0, 1956.0], [1892.0, 1955.0], [1891.0, 1954.0], [1891.0, 1953.0], [1890.0, 1952.0], [1890.0, 1950.0], [1889.0, 1949.0], [1889.0, 1946.0]]",198,35.10935592651367,,0.0
3000,199,1797.7843137254902,884.3807189542483,98.04798889160156,0,0.9615091681480408,204.0,"[[1790.0, 878.0], [1790.0, 890.0], [1794.0, 890.0], [1795.0, 891.0], [1795.0, 892.0], [1796.0, 893.0], [1796.0, 897.0], [1798.0, 897.0], [1798.0, 894.0], [1799.0, 893.0], [1799.0, 892.0], [1802.0, 889.0], [1802.0, 887.0], [1804.0, 885.0], [1804.0, 884.0], [1806.0, 882.0], [1809.0, 882.0], [1809.0, 878.0]]",199,98.04798889160156,,0.0
3000,200,173.05225988700562,225.53742937853104,121.60159301757812,0,0.9614955186843872,236.0,"[[166.0, 218.0], [166.0, 237.0], [173.0, 237.0], [173.0, 233.0], [177.0, 229.0], [177.0, 228.0], [180.0, 225.0], [180.0, 224.0], [181.0, 223.0], [185.0, 223.0], [185.0, 218.0]]",200,1.601593017578125,,0.0
3000,201,836.2642642642642,689.4617117117117,69.54454803466797,0,0.9614914655685425,222.0,"[[830.0, 682.0], [830.0, 685.0], [829.0, 686.0], [826.0, 686.0], [826.0, 691.0], [829.0, 691.0], [838.0, 700.0], [840.0, 700.0], [841.0, 701.0], [841.0, 699.0], [842.0, 698.0], [842.0, 693.0], [843.0, 692.0], [843.0, 690.0], [844.0, 689.0], [844.0, 682.0]]",201,69.54454803466797,,0.0
3000,202,1595.7419962335216,334.6412429378531,121.5306167602539,0,0.9614729285240173,177.0,"[[1590.0, 326.0], [1590.0, 344.0], [1593.0, 344.0], [1595.0, 342.0], [1596.0, 342.0], [1599.0, 339.0], [1600.0, 339.0], [1601.0, 338.0], [1602.0, 338.0], [1606.0, 334.0], [1609.0, 334.0], [1609.0, 333.0], [1604.0, 333.0], [1603.0, 332.0], [1601.0, 332.0], [1600.0, 331.0], [1599.0, 331.0], [1597.0, 329.0], [1597.0, 326.0]]",202,1.5306167602539062,,0.0
3000,203,1849.5621370499416,43.39895470383275,65.77974700927734,0,0.9614703059196472,287.0,"[[1844.0, 34.0], [1844.0, 37.0], [1842.0, 39.0], [1838.0, 39.0], [1838.0, 46.0], [1842.0, 46.0], [1844.0, 48.0], [1845.0, 48.0], [1846.0, 49.0], [1847.0, 49.0], [1850.0, 52.0], [1851.0, 52.0], [1853.0, 54.0], [1853.0, 57.0], [1857.0, 57.0], [1857.0, 34.0]]",203,65.77974700927734,,0.0
3000,204,1687.168794326241,242.34893617021277,47.29228210449219,0,0.9613790512084961,235.0,"[[1685.0, 230.0], [1685.0, 233.0], [1681.0, 237.0], [1678.0, 237.0], [1678.0, 247.0], [1681.0, 247.0], [1682.0, 248.0], [1689.0, 248.0], [1690.0, 249.0], [1691.0, 249.0], [1692.0, 250.0], [1692.0, 253.0], [1697.0, 253.0], [1697.0, 244.0], [1694.0, 244.0], [1692.0, 242.0], [1692.0, 241.0], [1691.0, 240.0], [1691.0, 238.0], [1690.0, 237.0], [1690.0, 235.0], [1689.0, 234.0], [1689.0, 230.0]]",204,47.29228210449219,,0.0
3000,205,30.351097178683386,1130.8578892371995,91.98267364501953,0,0.9613780379295349,159.5,"[[22.0, 1126.0], [22.0, 1134.0], [26.0, 1134.0], [27.0, 1135.0], [27.0, 1136.0], [28.0, 1137.0], [28.0, 1138.0], [29.0, 1139.0], [29.0, 1140.0], [30.0, 1141.0], [30.0, 1140.0], [33.0, 1137.0], [33.0, 1136.0], [34.0, 1135.0], [34.0, 1134.0], [36.0, 1132.0], [36.0, 1131.0], [37.0, 1130.0], [41.0, 1130.0], [41.0, 1126.0]]",205,91.98267364501953,,0.0
3000,206,1778.8832709113608,1465.4662921348315,36.67426300048828,0,0.9613233804702759,267.0,"[[1776.0, 1454.0], [1776.0, 1457.0], [1775.0, 1458.0], [1775.0, 1459.0], [1774.0, 1460.0], [1770.0, 1460.0], [1770.0, 1473.0], [1789.0, 1473.0], [1789.0, 1464.0], [1786.0, 1464.0], [1783.0, 1461.0], [1783.0, 1460.0], [1782.0, 1459.0], [1782.0, 1454.0]]",206,36.67426300048828,,0.0
3000,207,1889.1006006006005,1814.2657657657658,17.422800064086914,0,0.9612942337989807,222.0,"[[1882.0, 1806.0], [1882.0, 1825.0], [1886.0, 1825.0], [1886.0, 1822.0], [1888.0, 1820.0], [1890.0, 1820.0], [1891.0, 1819.0], [1893.0, 1819.0], [1894.0, 1818.0], [1901.0, 1818.0], [1901.0, 1813.0], [1897.0, 1813.0], [1893.0, 1809.0], [1893.0, 1806.0]]",207,17.422800064086914,,0.0
3000,208,16.029327610872674,1061.0529327610873,63.44584274291992,0,0.9612776637077332,233.0,"[[6.0, 1054.0], [6.0, 1063.0], [10.0, 1063.0], [13.0, 1066.0], [14.0, 1066.0], [16.0, 1068.0], [17.0, 1068.0], [18.0, 1069.0], [18.0, 1073.0], [22.0, 1073.0], [22.0, 1070.0], [23.0, 1069.0], [23.0, 1062.0], [24.0, 1061.0], [24.0, 1054.0]]",208,63.44584274291992,,0.0
3000,209,1192.4851190476188,1179.440476190476,11.558837890625,0,0.961273193359375,224.0,"[[1186.0, 1170.0], [1186.0, 1189.0], [1194.0, 1189.0], [1194.0, 1186.0], [1196.0, 1184.0], [1197.0, 1184.0], [1198.0, 1183.0], [1200.0, 1183.0], [1201.0, 1182.0], [1205.0, 1182.0], [1205.0, 1179.0], [1201.0, 1179.0], [1195.0, 1173.0], [1195.0, 1170.0]]",209,11.558837890625,,0.0
