particle_id,poly_json,theta_rad,theta_deg,side_px,side_um,thickness_px,outer_vertices_json,mid_vertices_json,inner_vertices_json,x,y,manual_added,cutoff_graph_coord_num
78,"[[201.60000610351562, 365.8666687011719], [201.60000610351562, 377.0666809082031], [203.73333740234375, 377.0666809082031], [204.26666259765625, 376.5333251953125], [204.8000030517578, 376.5333251953125], [205.3333282470703, 376.0], [205.86666870117188, 376.0], [206.39999389648438, 375.4666748046875], [206.93333435058594, 375.4666748046875], [207.46665954589844, 374.9333190917969], [208.0, 374.9333190917969], [208.53334045410156, 374.3999938964844], [209.06666564941406, 374.3999938964844], [209.60000610351562, 373.8666687011719], [210.13333129882812, 373.8666687011719], [210.6666717529297, 373.3333435058594], [211.1999969482422, 373.3333435058594], [211.73333740234375, 372.79998779296875], [213.86666870117188, 372.79998779296875], [213.86666870117188, 371.73333740234375], [211.73333740234375, 371.73333740234375], [210.6666717529297, 370.6666564941406], [210.13333129882812, 370.6666564941406], [209.60000610351562, 370.1333312988281], [209.06666564941406, 370.1333312988281], [208.53334045410156, 369.6000061035156], [208.0, 369.6000061035156], [206.93333435058594, 368.5333251953125], [206.39999389648438, 368.5333251953125], [205.3333282470703, 367.4666748046875], [205.3333282470703, 365.8666687011719]]",2.032592650404767,116.45898033750316,16.585139168583577,0.995108350115015,0.833333333333333,"[[199.61365389194006, 381.53022815120187], [198.41100924675771, 362.09551266402985], [215.84328889656274, 370.7713495931626]]","[[200.35624887543332, 380.03813885485647], [199.33189899036103, 363.48466343263055], [214.17980416946617, 370.87428812090724]]","[[201.09884385892659, 378.54604955851113], [200.25278873396434, 364.8738142012313], [212.5163194423696, 370.9772266486519]]",204.62265067842017,371.4656968027981,False,3
79,"[[225.06666564941406, 391.4666748046875], [225.06666564941406, 403.73333740234375], [226.6666717529297, 403.73333740234375], [226.6666717529297, 402.1333312988281], [227.1999969482422, 401.6000061035156], [227.73333740234375, 401.6000061035156], [228.26666259765625, 401.0666809082031], [229.3333282470703, 401.0666809082031], [229.86666870117188, 400.5333251953125], [230.39999389648438, 400.5333251953125], [230.93333435058594, 400.0], [232.0, 400.0], [232.53334045410156, 399.4666748046875], [233.06666564941406, 399.4666748046875], [233.60000610351562, 398.9333190917969], [234.13333129882812, 398.9333190917969], [235.1999969482422, 397.8666687011719], [234.13333129882812, 396.79998779296875], [233.60000610351562, 396.79998779296875], [230.93333435058594, 394.1333312988281], [230.39999389648438, 394.1333312988281], [229.86666870117188, 393.6000061035156], [229.86666870117188, 391.4666748046875]]",0.112730473211005,6.458980337503153,17.22972164800045,1.033783298880027,0.833333333333333,"[[240.21486882226202, 397.53237732365585], [221.77260209338976, 405.56700759625676], [224.03554153173803, 385.5782209693844]]","[[238.55878107824532, 397.3448908924253], [222.76301397770862, 404.2265367546575], [224.70121739143585, 387.1061782422141]]","[[236.90269333422867, 397.1574044611948], [223.75342586202746, 402.88606591305825], [225.36689325113366, 388.6341355150439]]",228.67433748246327,396.22586862976567,False,2
81,"[[201.60000610351562, 348.79998779296875], [201.60000610351562, 360.5333251953125], [203.73333740234375, 360.5333251953125], [204.8000030517578, 359.4666748046875], [205.3333282470703, 359.4666748046875], [205.86666870117188, 358.9333190917969], [206.39999389648438, 358.9333190917969], [206.93333435058594, 358.3999938964844], [207.46665954589844, 358.3999938964844], [208.0, 357.8666687011719], [208.53334045410156, 357.8666687011719], [209.06666564941406, 357.3333435058594], [209.60000610351562, 357.3333435058594], [210.13333129882812, 356.79998779296875], [210.6666717529297, 356.79998779296875], [211.1999969482422, 356.26666259765625], [211.73333740234375, 356.26666259765625], [212.26666259765625, 355.73333740234375], [213.86666870117188, 355.73333740234375], [213.86666870117188, 354.1333312988281], [211.73333740234375, 354.1333312988281], [211.1999969482422, 353.6000061035156], [210.6666717529297, 353.6000061035156], [210.13333129882812, 353.0666809082031], [209.60000610351562, 353.0666809082031], [209.06666564941406, 352.5333251953125], [208.53334045410156, 352.5333251953125], [208.0, 352.0], [207.46665954589844, 352.0], [206.93333435058594, 351.4666748046875], [206.39999389648438, 351.4666748046875], [205.86666870117188, 350.9333190917969], [205.86666870117188, 348.79998779296875]]",2.032592650404767,116.45898033750316,17.22972164800045,1.033783298880027,0.833333333333333,"[[199.93389746332684, 365.732037472561], [198.6914413952798, 345.65397011947056], [216.70078581597463, 354.61700527800093]]","[[200.67649244682013, 364.23994817621565], [199.61233113888312, 347.0431208880713], [215.03730108887805, 354.7199438057456]]","[[201.41908743031337, 362.74785887987025], [200.53322088248643, 348.43227165667207], [213.3738163617815, 354.82288233349016]]",205.10870822486044,355.33433762334414,False,3
82,"[[120.53333282470703, 299.73333740234375], [120.53333282470703, 312.0], [124.26667022705078, 312.0], [124.26667022705078, 310.3999938964844], [127.46666717529297, 307.20001220703125], [128.0, 307.20001220703125], [129.06666564941406, 306.1333312988281], [129.60000610351562, 306.1333312988281], [130.13333129882812, 305.6000061035156], [130.13333129882812, 305.0666809082031], [131.1999969482422, 304.0], [132.8000030517578, 304.0], [130.6666717529297, 304.0], [130.13333129882812, 303.4666748046875], [129.06666564941406, 303.4666748046875], [128.53334045410156, 302.9333190917969], [128.0, 302.9333190917969], [127.46666717529297, 302.3999938964844], [126.4000015258789, 302.3999938964844], [125.33333587646484, 301.3333435058594], [125.33333587646484, 299.73333740234375]]",2.032592650404767,116.45898033750316,17.422084194665995,1.04532505167996,0.833333333333333,"[[119.09344914975324, 315.8623253623365], [117.83911217129801, 295.59226271418], [136.02066985013127, 304.6410063500098]]","[[119.8360441332465, 314.37023606599115], [118.76000191490132, 296.9814134827807], [134.3571851230347, 304.7439448777544]]","[[120.57863911673977, 312.87814676964575], [119.68089165850463, 298.37056425138144], [132.69370039593815, 304.84688340549906]]",124.31774372372752,305.3651981421754,False,1
83,"[[28.799999237060547, 389.3333435058594], [28.799999237060547, 401.6000061035156], [30.399999618530273, 401.6000061035156], [30.399999618530273, 400.0], [30.933332443237305, 399.4666748046875], [31.46666717529297, 399.4666748046875], [32.0, 398.9333190917969], [32.53333282470703, 398.9333190917969], [33.06666564941406, 398.3999938964844], [34.13333511352539, 398.3999938964844], [34.66666793823242, 397.8666687011719], [35.20000076293945, 397.8666687011719], [36.266666412353516, 396.79998779296875], [36.79999923706055, 396.79998779296875], [37.33333206176758, 396.26666259765625], [37.86666488647461, 396.26666259765625], [38.400001525878906, 395.73333740234375], [38.93333435058594, 395.73333740234375], [38.93333435058594, 395.20001220703125], [37.86666488647461, 394.1333312988281], [37.33333206176758, 394.1333312988281], [35.733333587646484, 392.5333251953125], [35.20000076293945, 392.5333251953125], [33.599998474121094, 390.9333190917969], [33.599998474121094, 389.3333435058594]]",0.160650921667375,9.204619786427378,16.851442971520196,1.011086578291212,0.833333333333333,"[[43.48742363443283, 396.837531142867], [25.03508768796301, 403.8452135723694], [28.19242465559499, 384.3611806688106]]","[[41.84221801682175, 396.57092984212244], [26.088573995895345, 402.5537243634417], [28.78414396527374, 385.919271178483]]","[[40.197012399210664, 396.30432854137786], [27.142060303827684, 401.2622351545139], [29.375863274952486, 387.4773616881553]]",32.23831199266361,395.0146417946824,False,2
84,"[[199.46665954589844, 331.73333740234375], [199.46665954589844, 343.4666748046875], [201.60000610351562, 343.4666748046875], [202.6666717529297, 342.3999938964844], [203.1999969482422, 342.3999938964844], [203.73333740234375, 341.8666687011719], [204.26666259765625, 341.8666687011719], [204.8000030517578, 341.3333435058594], [205.3333282470703, 341.3333435058594], [205.86666870117188, 340.79998779296875], [206.39999389648438, 340.79998779296875], [206.93333435058594, 340.26666259765625], [207.46665954589844, 340.26666259765625], [208.0, 339.73333740234375], [208.53334045410156, 339.73333740234375], [209.06666564941406, 339.20001220703125], [209.60000610351562, 339.20001220703125], [210.13333129882812, 338.6666564941406], [210.6666717529297, 338.6666564941406], [211.1999969482422, 338.1333312988281], [211.73333740234375, 338.1333312988281], [212.26666259765625, 337.6000061035156], [213.86666870117188, 337.6000061035156], [211.73333740234375, 337.6000061035156], [211.1999969482422, 337.0666809082031], [210.6666717529297, 337.0666809082031], [210.13333129882812, 336.5333251953125], [209.60000610351562, 336.5333251953125], [209.06666564941406, 336.0], [208.53334045410156, 336.0], [208.0, 335.4666748046875], [207.46665954589844, 335.4666748046875], [206.93333435058594, 334.9333190917969], [206.39999389648438, 334.9333190917969], [205.86666870117188, 334.3999938964844], [205.3333282470703, 334.3999938964844], [204.26666259765625, 333.3333435058594], [204.26666259765625, 331.73333740234375]]",0.112730473211005,6.458980337503153,15.91124913866734,0.95467494832004,0.833333333333333,"[[214.20477924921292, 338.86549110438705], [196.97125431613765, 346.373516184305], [199.08587633121567, 327.69483325555035]]","[[212.54869150519625, 338.6780046731566], [197.9616662004565, 345.03304534270575], [199.7515521909135, 329.2227905283801]]","[[210.89260376117957, 338.49051824192605], [198.95207808477534, 343.69257450110655], [200.4172280506113, 330.75074780120985]]",203.42063663218875,337.64461351474745,False,3
85,"[[182.39999389648438, 346.6666564941406], [182.39999389648438, 355.73333740234375], [184.53334045410156, 355.73333740234375], [185.06666564941406, 355.20001220703125], [185.60000610351562, 355.20001220703125], [186.13333129882812, 354.6666564941406], [186.6666717529297, 354.6666564941406], [187.1999969482422, 354.1333312988281], [187.73333740234375, 354.1333312988281], [188.26666259765625, 353.6000061035156], [189.3333282470703, 353.6000061035156], [189.86666870117188, 353.0666809082031], [190.39999389648438, 353.0666809082031], [190.93333435058594, 352.5333251953125], [191.46665954589844, 352.5333251953125], [192.0, 352.0], [192.0, 350.9333190917969], [191.46665954589844, 350.3999938964844], [190.93333435058594, 350.3999938964844], [190.39999389648438, 349.8666687011719], [189.86666870117188, 349.8666687011719], [188.26666259765625, 348.26666259765625], [188.26666259765625, 346.6666564941406]]",2.032592650404767,116.45898033750316,16.74819416474976,1.004891649884986,0.833333333333333,"[[180.7602805676534, 361.424825116045], [179.547565137723, 341.8273659313934], [197.12582035622512, 350.5758531538381]]","[[181.50287555114667, 359.9327358196996], [180.46845488132632, 343.21651669999414], [195.46233562912857, 350.6787916815827]]","[[182.24547053463994, 358.44064652335425], [181.3893446249296, 344.6056674685949], [193.798850902032, 350.78173020932735]]",185.81122202053385,351.2760147337588,False,2
86,"[[186.6666717529297, 380.79998779296875], [186.6666717529297, 393.0666809082031], [189.3333282470703, 393.0666809082031], [189.3333282470703, 391.4666748046875], [190.39999389648438, 390.3999938964844], [190.93333435058594, 390.3999938964844], [191.46665954589844, 389.8666687011719], [192.0, 389.8666687011719], [192.53334045410156, 389.3333435058594], [193.06666564941406, 389.3333435058594], [193.60000610351562, 388.79998779296875], [194.13333129882812, 388.79998779296875], [195.1999969482422, 387.73333740234375], [196.26666259765625, 387.73333740234375], [196.8000030517578, 387.20001220703125], [198.93333435058594, 387.20001220703125], [198.93333435058594, 386.6666564941406], [196.8000030517578, 386.6666564941406], [196.26666259765625, 386.1333312988281], [195.1999969482422, 386.1333312988281], [194.13333129882812, 385.0666809082031], [193.60000610351562, 385.0666809082031], [193.06666564941406, 384.5333251953125], [192.53334045410156, 384.5333251953125], [191.46665954589844, 383.4666748046875], [190.93333435058594, 383.4666748046875], [189.86666870117188, 382.3999938964844], [189.86666870117188, 380.79998779296875]]",2.032592650404767,116.45898033750316,16.581527493138957,0.994891649588337,0.833333333333333,"[[183.72458459119989, 397.84691087400347], [182.5221630143493, 378.4158001669963], [199.95120929879064, 387.09002788888876]]","[[184.46717957469315, 396.35482157765813], [183.44305275795261, 379.804950935597], [198.28772457169407, 387.19296641663334]]","[[185.2097745581864, 394.86273228131273], [184.36394250155593, 381.19410170419775], [196.6242398445975, 387.295904944378]]",188.73265230144665,387.7842463099629,False,3
87,"[[61.33333206176758, 365.8666687011719], [61.33333206176758, 368.0], [60.79999923706055, 368.5333251953125], [60.79999923706055, 369.0666809082031], [60.266666412353516, 369.6000061035156], [58.66666793823242, 369.6000061035156], [58.66666793823242, 377.6000061035156], [60.79999923706055, 377.6000061035156], [61.33333206176758, 377.0666809082031], [62.400001525878906, 377.0666809082031], [62.93333435058594, 376.5333251953125], [63.46666717529297, 376.5333251953125], [64.0, 376.0], [65.06666564941406, 376.0], [65.5999984741211, 375.4666748046875], [66.66666412353516, 375.4666748046875], [67.19999694824219, 374.9333190917969], [67.73332977294922, 374.9333190917969], [68.26667022705078, 374.3999938964844], [70.93333435058594, 374.3999938964844], [70.93333435058594, 372.26666259765625], [69.33333587646484, 372.26666259765625], [68.80000305175781, 371.73333740234375], [68.26667022705078, 371.73333740234375], [64.0, 367.4666748046875], [64.0, 365.8666687011719]]",0.112730473211005,6.458980337503153,17.22972164800045,1.033783298880027,0.833333333333333,"[[74.48457590271772, 374.09198089892624], [56.042309173845496, 382.1266111715271], [58.305248612193736, 362.1378245446548]]","[[72.82848815870105, 373.9044944676957], [57.032721058164334, 380.7861403299279], [58.970924471891564, 363.6657818174845]]","[[71.17240041468438, 373.7170080364652], [58.02313294248318, 379.44566948832863], [59.63660033158939, 365.1937390903143]]",62.94404456291899,372.785472205036,False,2
88,"[[220.8000030517578, 357.3333435058594], [220.8000030517578, 368.5333251953125], [222.93333435058594, 368.5333251953125], [223.46665954589844, 368.0], [224.0, 368.0], [224.53334045410156, 367.4666748046875], [225.06666564941406, 367.4666748046875], [225.60000610351562, 366.9333190917969], [226.13333129882812, 366.9333190917969], [226.6666717529297, 366.3999938964844], [227.1999969482422, 366.3999938964844], [227.73333740234375, 365.8666687011719], [228.26666259765625, 365.8666687011719], [228.8000030517578, 365.3333435058594], [229.3333282470703, 365.3333435058594], [229.86666870117188, 364.79998779296875], [230.39999389648438, 364.79998779296875], [230.93333435058594, 364.26666259765625], [233.06666564941406, 364.26666259765625], [233.06666564941406, 363.20001220703125], [230.93333435058594, 363.20001220703125], [229.86666870117188, 362.1333312988281], [229.3333282470703, 362.1333312988281], [228.26666259765625, 361.0666809082031], [227.73333740234375, 361.0666809082031], [226.6666717529297, 360.0], [226.13333129882812, 360.0], [225.06666564941406, 358.9333190917969], [225.06666564941406, 357.3333435058594]]",0.112730473211005,6.458980337503153,17.22972164800045,1.033783298880027,0.833333333333333,"[[236.22786216512736, 365.13676558973987], [217.78559543625514, 373.1713958623408], [220.04853487460338, 353.1826092354684]]","[[234.57177442111072, 364.9492791585094], [218.776007320574, 371.8309250207415], [220.71421073430122, 354.7105665082982]]","[[232.91568667709404, 364.7617927272789], [219.76641920489283, 370.4904541791423], [221.37988659399903, 356.2385237811279]]",224.68733082532864,363.8302568958497,False,3
